feature_set,xi,tau,n_clusters,n_noise,coverage,runtime_sec,silhouette,davies_bouldin,calinski_harabasz,quality_score
frequency|return_rate|weekend_ratio|repeat_category_rate,10,0.12,13,93,0.97,0.02,0.0352,4.0372,277.9,-0.37027600000000005
frequency|return_rate|weekend_ratio|repeat_category_rate,10,0.14,11,93,0.97,0.02,0.0347,3.7573,263.6,-0.29838400000000004
frequency|return_rate|weekend_ratio|repeat_category_rate,10,0.16,10,120,0.961,0.02,0.0236,3.6991,286.0,-0.28207800000000005
frequency|return_rate|weekend_ratio|repeat_category_rate,10,0.18,9,210,0.932,0.02,0.0411,2.2983,346.4,-0.159764
frequency|return_rate|weekend_ratio|repeat_category_rate,10,0.2,9,210,0.932,0.02,0.0411,2.2983,346.4,-0.159764
frequency|return_rate|weekend_ratio|repeat_category_rate,12,0.06,17,1,1.0,0.05,-0.023,1.8861,232.7,-0.34888800000000003
frequency|return_rate|weekend_ratio|repeat_category_rate,12,0.08,15,7,0.998,0.03,0.0218,2.6332,253.5,-0.314356
frequency|return_rate|weekend_ratio|repeat_category_rate,12,0.1,12,55,0.982,0.04,0.0525,5.9341,297.3,-0.476728
frequency|return_rate|weekend_ratio|repeat_category_rate,12,0.12,11,55,0.982,0.03,-0.001,8.8453,230.0,-0.738124
frequency|return_rate|weekend_ratio|repeat_category_rate,12,0.14,11,126,0.959,0.03,-0.01,2.8831,226.1,-0.27589800000000003
frequency|return_rate|weekend_ratio|repeat_category_rate,12,0.16,10,142,0.954,0.02,0.0037,2.1638,288.5,-0.180904
frequency|return_rate|weekend_ratio|repeat_category_rate,12,0.18,10,142,0.954,0.02,0.0037,2.1638,288.5,-0.180904
frequency|return_rate|weekend_ratio|repeat_category_rate,12,0.2,8,246,0.921,0.02,0.1966,1.7314,512.8,0.03833800000000001
frequency|return_rate|weekend_ratio|repeat_category_rate,14,0.06,16,0,1.0,0.04,-0.013,2.4648,211.6,-0.36018400000000006
frequency|return_rate|weekend_ratio|repeat_category_rate,14,0.08,11,56,0.982,0.03,0.0151,2.4837,273.5,-0.21309599999999998
frequency|return_rate|weekend_ratio|repeat_category_rate,14,0.1,11,96,0.969,0.05,0.0297,3.4662,266.2,-0.28034600000000004
frequency|return_rate|weekend_ratio|repeat_category_rate,14,0.12,10,136,0.956,0.02,0.064,2.6364,392.8,-0.15791200000000002
frequency|return_rate|weekend_ratio|repeat_category_rate,14,0.14,9,136,0.956,0.01,0.0379,2.1201,359.4,-0.142708
frequency|return_rate|weekend_ratio|repeat_category_rate,14,0.16,8,365,0.882,0.04,0.1023,1.6518,538.8,-0.05934399999999998
